Question,Answer Disease,Answer Index,Number of Symptoms,llama38b_Answer,extracted,check
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hyperhidrosis 2) Cryptorchidism 3) Chagas disease 4) Chronic glaucoma",Cryptorchidism,2,3,"2) Cryptorchidism
Explanation: The symptoms of scrotal swelling and testicular pain are consistent with crypt",2,same
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic glaucoma 2) Chagas disease 3) Cryptorchidism 4) Hyperhidrosis",Cryptorchidism,3,3,"3) Cryptorchidism
Explanation: Cryptorchidism is a condition where one or both testicles fail to",3,same
"A patient is presenting with the following symptoms: Symptoms of the scrotum and testes, Swelling of scrotum, Pain in testicles. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic glaucoma 2) Hyperhidrosis 3) Chagas disease 4) Cryptorchidism",Cryptorchidism,4,3,"4) Cryptorchidism
Explanation: Cryptorchidism is a condition where one or both testicles fail to",4,same
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to ethylene glycol 2) Neuropathy due to drugs 3) Corneal disorder 4) Diabetic ketoacidosis",Poisoning due to ethylene glycol,1,3,"2) Neuropathy due to drugs
Explanation: The patient is presenting with symptoms of alcohol abuse, fainting,",2,different
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Corneal disorder 2) Poisoning due to ethylene glycol 3) Neuropathy due to drugs 4) Diabetic ketoacidosis",Poisoning due to ethylene glycol,2,3,"2) Poisoning due to ethylene glycol
Explanation: The patient is presenting with symptoms of alcohol abuse, faint",2,same
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Diabetic ketoacidosis 3) Poisoning due to ethylene glycol 4) Corneal disorder",Poisoning due to ethylene glycol,3,3,"1) Neuropathy due to drugs
Explanation: The patient is presenting with symptoms of alcohol abuse, fainting,",1,different
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Corneal disorder 3) Diabetic ketoacidosis 4) Poisoning due to ethylene glycol",Poisoning due to ethylene glycol,4,3,"1) Neuropathy due to drugs
Explanation: The patient is presenting with symptoms of alcohol abuse, fainting,",1,different
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrophic vaginitis 2) Somatization disorder 3) Mitral valve disease 4) Gum disease",Atrophic vaginitis,1,3,"1) Atrophic vaginitis
Explanation: Atrophic vaginitis is a common condition that occurs in postmen",1,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Atrophic vaginitis 3) Gum disease 4) Mitral valve disease",Atrophic vaginitis,2,3,"2) Atrophic vaginitis
Explanation: Atrophic vaginitis is a common condition that occurs in postmen",2,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Mitral valve disease 3) Atrophic vaginitis 4) Gum disease",Atrophic vaginitis,3,3,"3) Atrophic vaginitis
Explanation: Atrophic vaginitis is a common condition that occurs in postmen",3,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gum disease 2) Mitral valve disease 3) Somatization disorder 4) Atrophic vaginitis",Atrophic vaginitis,4,3,"4) Atrophic vaginitis
Explanation: Atrophic vaginitis is a condition characterized by vaginal dryness,",4,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the hand 2) Ependymoma 3) Transient ischemic attack 4) Hemangioma",Fracture of the hand,1,3,"1) Fracture of the hand
Explanation: The symptoms of hand or finger pain, wrist pain, and hand",1,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Transient ischemic attack 2) Fracture of the hand 3) Hemangioma 4) Ependymoma",Fracture of the hand,2,3,"2) Fracture of the hand
Explanation: The symptoms of hand or finger pain, wrist pain, and hand",2,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Transient ischemic attack 3) Fracture of the hand 4) Ependymoma",Fracture of the hand,3,3,"3) Fracture of the hand
Explanation: The symptoms of hand or finger pain, wrist pain, and hand",3,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ependymoma 2) Transient ischemic attack 3) Hemangioma 4) Fracture of the hand",Fracture of the hand,4,3,"4) Fracture of the hand
Explanation: The symptoms of hand or finger pain, wrist pain, and hand",4,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cellulitis or abscess of mouth 2) Diaper rash 3) Personality disorder 4) Restless leg syndrome",Cellulitis or abscess of mouth,1,3,"1) Cellulitis or abscess of mouth
Explanation: The symptoms of lip swelling, sore throat, and tooth",1,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Cellulitis or abscess of mouth 3) Restless leg syndrome 4) Diaper rash",Cellulitis or abscess of mouth,2,3,"2) Cellulitis or abscess of mouth
Explanation: The symptoms of lip swelling, sore throat, and tooth",2,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Personality disorder 3) Cellulitis or abscess of mouth 4) Diaper rash",Cellulitis or abscess of mouth,3,3,"3) Cellulitis or abscess of mouth
Explanation: The symptoms of lip swelling, sore throat, and tooth",3,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Diaper rash 3) Personality disorder 4) Cellulitis or abscess of mouth",Cellulitis or abscess of mouth,4,3,"4) Cellulitis or abscess of mouth
Explanation: The symptoms of lip swelling, sore throat, and tooth",4,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Paroxysmal supraventricular tachycardia 3) Huntington disease 4) Poisoning due to opioids",Eye alignment disorder,1,3,"1) Eye alignment disorder
Explanation: The symptoms of eye deviation, diminished vision, and double vision are consistent with an",1,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Eye alignment disorder 3) Poisoning due to opioids 4) Huntington disease",Eye alignment disorder,2,3,"2) Eye alignment disorder
Explanation: The symptoms of eye deviation, diminished vision, and double vision are consistent with an",2,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Huntington disease 2) Poisoning due to opioids 3) Eye alignment disorder 4) Paroxysmal supraventricular tachycardia",Eye alignment disorder,3,3,"3) Eye alignment disorder
Explanation: The symptoms of eye deviation, diminished vision, and double vision are consistent with an",3,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Poisoning due to opioids 3) Huntington disease 4) Eye alignment disorder",Eye alignment disorder,4,3,"4) Eye alignment disorder
Explanation: The symptoms of eye deviation, diminished vision, and double vision are consistent with an",4,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Headache after lumbar puncture 2) Oral mucosal lesion 3) Atonic bladder 4) Colorectal cancer",Headache after lumbar puncture,1,3,"1) Headache after lumbar puncture
Explanation: The symptoms of headache, nausea, and back pain are consistent",1,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Headache after lumbar puncture 3) Colorectal cancer 4) Atonic bladder",Headache after lumbar puncture,2,3,"2) Headache after lumbar puncture
Explanation: The symptoms of headache, nausea, and back pain are consistent",2,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Colorectal cancer 3) Headache after lumbar puncture 4) Atonic bladder",Headache after lumbar puncture,3,3,"3) Headache after lumbar puncture
Explanation: The symptoms of headache, nausea, and back pain are consistent",3,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Colorectal cancer 2) Oral mucosal lesion 3) Atonic bladder 4) Headache after lumbar puncture",Headache after lumbar puncture,4,3,"4) Headache after lumbar puncture
Explanation: The symptoms of headache, nausea, and back pain are consistent",4,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyloric stenosis 2) Histoplasmosis 3) Balanitis 4) Bone cancer",Pyloric stenosis,1,3,"1) Pyloric stenosis
Explanation: The symptoms of vomiting, sharp abdominal pain, and infant spitting",1,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bone cancer 2) Pyloric stenosis 3) Balanitis 4) Histoplasmosis",Pyloric stenosis,2,3,"2) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pyl",2,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Pyloric stenosis 4) Bone cancer",Pyloric stenosis,3,3,"3) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pyl",3,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Bone cancer 4) Pyloric stenosis",Pyloric stenosis,4,3,"4) Pyloric stenosis
Explanation: Pyloric stenosis is a condition where the pyloric",4,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Salivary gland disorder 2) Benign prostatic hyperplasia (BPH) 3) Leishmaniasis 4) Trichiasis",Salivary gland disorder,1,3,"1) Salivary gland disorder
Explanation: The symptoms of sore throat, peripheral edema, and neck mass are",1,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Salivary gland disorder 3) Benign prostatic hyperplasia (BPH) 4) Leishmaniasis",Salivary gland disorder,2,3,"2) Salivary gland disorder
Explanation: The symptoms of sore throat, peripheral edema, and neck mass are",2,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Benign prostatic hyperplasia (BPH) 3) Salivary gland disorder 4) Leishmaniasis",Salivary gland disorder,3,3,"3) Salivary gland disorder
Explanation: The symptoms of sore throat, peripheral edema, and neck mass are",3,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Leishmaniasis 2) Trichiasis 3) Benign prostatic hyperplasia (BPH) 4) Salivary gland disorder",Salivary gland disorder,4,3,"2) Trichiasis
Explanation: The symptoms of sore throat, peripheral edema, and neck mass are consistent",2,different
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Osteochondrosis 2) Dislocation of the vertebra 3) Yeast infection 4) Lumbago",Osteochondrosis,1,3,"Osteochondrosis
Explanation: Osteochondrosis is a condition characterized by the abnormal development of cartilage and bone,",,different
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Yeast infection 2) Osteochondrosis 3) Lumbago 4) Dislocation of the vertebra",Osteochondrosis,2,3,"2) Osteochondrosis
Explanation: Osteochondrosis is a condition characterized by the abnormal development of cartilage",2,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the vertebra 2) Yeast infection 3) Osteochondrosis 4) Lumbago",Osteochondrosis,3,3,"3) Osteochondrosis
Explanation: Osteochondrosis is a condition characterized by the failure of normal bone development",3,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lumbago 2) Dislocation of the vertebra 3) Yeast infection 4) Osteochondrosis",Osteochondrosis,4,3,"4) Osteochondrosis
Explanation: Osteochondrosis is a condition characterized by the abnormal development of cartilage",4,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the knee 2) Drug reaction 3) Spina bifida 4) Factitious disorder",Injury to the knee,1,3,"1) Injury to the knee
Explanation: The patient is presenting with symptoms of knee pain and swelling, which are common",1,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Injury to the knee 3) Drug reaction 4) Factitious disorder",Injury to the knee,2,3,"2) Injury to the knee
Explanation: The symptoms of knee pain, knee swelling, and leg pain are consistent with",2,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug reaction 2) Factitious disorder 3) Injury to the knee 4) Spina bifida",Injury to the knee,3,3,"3) Injury to the knee
Explanation: The patient is presenting with symptoms of knee pain and swelling, which are common",3,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Drug reaction 3) Factitious disorder 4) Injury to the knee",Injury to the knee,4,3,"4) Injury to the knee
Explanation: The patient is presenting with symptoms of knee pain and swelling, which are common",4,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Metabolic disorder 2) Urethral stricture 3) Gastroparesis 4) Developmental disability",Metabolic disorder,1,3,"1) Metabolic disorder
Explanation: The patient is presenting with symptoms of weight gain, jaundice, and mouth",1,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gastroparesis 2) Metabolic disorder 3) Developmental disability 4) Urethral stricture",Metabolic disorder,2,3,"2) Metabolic disorder
Explanation: The symptoms of weight gain, jaundice, and mouth dryness are consistent",2,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Gastroparesis 3) Metabolic disorder 4) Urethral stricture",Metabolic disorder,3,3,"3) Metabolic disorder
Explanation: The patient is presenting with symptoms of weight gain, jaundice, and mouth",3,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Urethral stricture 3) Gastroparesis 4) Metabolic disorder",Metabolic disorder,4,3,"4) Metabolic disorder
Explanation: The patient is presenting with symptoms of weight gain, jaundice, and mouth",4,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginitis 2) Fracture of the shoulder 3) Open wound from surgical incision 4) Poisoning due to analgesics",Vaginitis,1,3,"1) Vaginitis
Explanation: The symptoms of vaginal discharge, vaginal itching, and sharp abdominal pain are consistent",1,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to analgesics 2) Vaginitis 3) Open wound from surgical incision 4) Fracture of the shoulder",Vaginitis,2,3,"2) Vaginitis
Explanation: The symptoms of vaginal discharge, vaginal itching, and sharp abdominal pain are consistent",2,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Open wound from surgical incision 3) Vaginitis 4) Poisoning due to analgesics",Vaginitis,3,3,"3) Vaginitis
Explanation: The symptoms of vaginal discharge, vaginal itching, and sharp abdominal pain are consistent",3,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Poisoning due to analgesics 3) Open wound from surgical incision 4) Vaginitis",Vaginitis,4,3,"4) Vaginitis
Explanation: The symptoms of vaginal discharge, vaginal itching, and sharp abdominal pain are consistent",4,same
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sick sinus syndrome 2) Varicose veins 3) Yeast infection 4) Placental abruption",Sick sinus syndrome,1,3,"1) Sick sinus syndrome
Explanation: The patient is presenting with symptoms of dizziness, sharp chest pain, and short",1,same
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Sick sinus syndrome 3) Varicose veins 4) Yeast infection",Sick sinus syndrome,2,3,"2) Sick sinus syndrome
Explanation: The patient is presenting with symptoms of dizziness, sharp chest pain, and short",2,same
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Sick sinus syndrome 4) Yeast infection",Sick sinus syndrome,3,3,"3) Sick sinus syndrome
Explanation: The patient is presenting with symptoms of dizziness, sharp chest pain, and short",3,same
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Yeast infection 4) Sick sinus syndrome",Sick sinus syndrome,4,3,"4) Sick sinus syndrome
Explanation: The patient is presenting with symptoms of dizziness, sharp chest pain, and short",4,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Cyst of the eyelid 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,1,3,"1) Tinnitus of unknown cause
Explanation: The symptoms of ringing in the ear (tinnitus), diminished hearing,",1,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Tinnitus of unknown cause 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,2,3,"2) Tinnitus of unknown cause
Explanation: The symptoms of ringing in the ear (tinnitus), diminished hearing,",2,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Acute bronchitis 3) Tinnitus of unknown cause 4) Pemphigus",Tinnitus of unknown cause,3,3,"3) Tinnitus of unknown cause
Explanation: The symptoms of ringing in the ear (tinnitus), diminished hearing,",3,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Acute bronchitis 3) Cyst of the eyelid 4) Tinnitus of unknown cause",Tinnitus of unknown cause,4,3,"4) Tinnitus of unknown cause
Explanation: The symptoms of ringing in the ear (tinnitus), diminished hearing,",4,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Glaucoma 2) Herpangina 3) G6PD enzyme deficiency 4) Pulmonary embolism",Glaucoma,1,3,"1) Glaucoma
Explanation: The patient is presenting with symptoms of eye pain and diminished vision, which are common",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pulmonary embolism 2) Glaucoma 3) G6PD enzyme deficiency 4) Herpangina",Glaucoma,2,3,"2) Glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with glaucoma",2,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) G6PD enzyme deficiency 2) Pulmonary embolism 3) Glaucoma 4) Herpangina",Glaucoma,3,3,"3) Glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with glaucoma",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Herpangina 2) G6PD enzyme deficiency 3) Pulmonary embolism 4) Glaucoma",Glaucoma,4,3,"4) Glaucoma
Explanation: The symptoms of diminished vision and pain in the eye are consistent with glaucoma",4,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Raynaud disease 3) Septic arthritis 4) Pain disorder affecting the neck",Eating disorder,1,3,"1) Eating disorder
Explanation: The symptoms of depression, anxiety, and nervousness are common in eating disorders such as",1,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Septic arthritis 2) Eating disorder 3) Raynaud disease 4) Pain disorder affecting the neck",Eating disorder,2,3,"2) Eating disorder
Explanation: The symptoms of depression, anxiety, and nervousness are common in eating disorders such as",2,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Raynaud disease 3) Eating disorder 4) Septic arthritis",Eating disorder,3,3,"3) Eating disorder
Explanation: The symptoms of depression, anxiety, and nervousness are common in eating disorders such as",3,same
