Question,Answer Disease,Answer Index,Number of Symptoms
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the hand 2) Ependymoma 3) Transient ischemic attack 4) Hemangioma",Fracture of the hand,1,3
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Transient ischemic attack 2) Fracture of the hand 3) Hemangioma 4) Ependymoma",Fracture of the hand,2,3
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Transient ischemic attack 3) Fracture of the hand 4) Ependymoma",Fracture of the hand,3,3
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ependymoma 2) Transient ischemic attack 3) Hemangioma 4) Fracture of the hand",Fracture of the hand,4,3
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cellulitis or abscess of mouth 2) Diaper rash 3) Personality disorder 4) Restless leg syndrome",Cellulitis or abscess of mouth,1,3
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Cellulitis or abscess of mouth 3) Restless leg syndrome 4) Diaper rash",Cellulitis or abscess of mouth,2,3
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Personality disorder 3) Cellulitis or abscess of mouth 4) Diaper rash",Cellulitis or abscess of mouth,3,3
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Diaper rash 3) Personality disorder 4) Cellulitis or abscess of mouth",Cellulitis or abscess of mouth,4,3
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Paroxysmal supraventricular tachycardia 3) Huntington disease 4) Poisoning due to opioids",Eye alignment disorder,1,3
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Eye alignment disorder 3) Poisoning due to opioids 4) Huntington disease",Eye alignment disorder,2,3
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Huntington disease 2) Poisoning due to opioids 3) Eye alignment disorder 4) Paroxysmal supraventricular tachycardia",Eye alignment disorder,3,3
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Poisoning due to opioids 3) Huntington disease 4) Eye alignment disorder",Eye alignment disorder,4,3
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Headache after lumbar puncture 2) Oral mucosal lesion 3) Atonic bladder 4) Colorectal cancer",Headache after lumbar puncture,1,3
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Headache after lumbar puncture 3) Colorectal cancer 4) Atonic bladder",Headache after lumbar puncture,2,3
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Colorectal cancer 3) Headache after lumbar puncture 4) Atonic bladder",Headache after lumbar puncture,3,3
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Colorectal cancer 2) Oral mucosal lesion 3) Atonic bladder 4) Headache after lumbar puncture",Headache after lumbar puncture,4,3
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyloric stenosis 2) Histoplasmosis 3) Balanitis 4) Bone cancer",Pyloric stenosis,1,3
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bone cancer 2) Pyloric stenosis 3) Balanitis 4) Histoplasmosis",Pyloric stenosis,2,3
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Pyloric stenosis 4) Bone cancer",Pyloric stenosis,3,3
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Bone cancer 4) Pyloric stenosis",Pyloric stenosis,4,3
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Salivary gland disorder 2) Benign prostatic hyperplasia (BPH) 3) Leishmaniasis 4) Trichiasis",Salivary gland disorder,1,3
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Salivary gland disorder 3) Benign prostatic hyperplasia (BPH) 4) Leishmaniasis",Salivary gland disorder,2,3
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Benign prostatic hyperplasia (BPH) 3) Salivary gland disorder 4) Leishmaniasis",Salivary gland disorder,3,3
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Leishmaniasis 2) Trichiasis 3) Benign prostatic hyperplasia (BPH) 4) Salivary gland disorder",Salivary gland disorder,4,3
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Osteochondrosis 2) Dislocation of the vertebra 3) Yeast infection 4) Lumbago",Osteochondrosis,1,3
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Yeast infection 2) Osteochondrosis 3) Lumbago 4) Dislocation of the vertebra",Osteochondrosis,2,3
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the vertebra 2) Yeast infection 3) Osteochondrosis 4) Lumbago",Osteochondrosis,3,3
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lumbago 2) Dislocation of the vertebra 3) Yeast infection 4) Osteochondrosis",Osteochondrosis,4,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the knee 2) Drug reaction 3) Spina bifida 4) Factitious disorder",Injury to the knee,1,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Injury to the knee 3) Drug reaction 4) Factitious disorder",Injury to the knee,2,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug reaction 2) Factitious disorder 3) Injury to the knee 4) Spina bifida",Injury to the knee,3,3
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Drug reaction 3) Factitious disorder 4) Injury to the knee",Injury to the knee,4,3
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Metabolic disorder 2) Urethral stricture 3) Gastroparesis 4) Developmental disability",Metabolic disorder,1,3
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gastroparesis 2) Metabolic disorder 3) Developmental disability 4) Urethral stricture",Metabolic disorder,2,3
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Gastroparesis 3) Metabolic disorder 4) Urethral stricture",Metabolic disorder,3,3
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Urethral stricture 3) Gastroparesis 4) Metabolic disorder",Metabolic disorder,4,3
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginitis 2) Fracture of the shoulder 3) Open wound from surgical incision 4) Poisoning due to analgesics",Vaginitis,1,3
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to analgesics 2) Vaginitis 3) Open wound from surgical incision 4) Fracture of the shoulder",Vaginitis,2,3
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Open wound from surgical incision 3) Vaginitis 4) Poisoning due to analgesics",Vaginitis,3,3
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Poisoning due to analgesics 3) Open wound from surgical incision 4) Vaginitis",Vaginitis,4,3
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sick sinus syndrome 2) Varicose veins 3) Yeast infection 4) Placental abruption",Sick sinus syndrome,1,3
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Sick sinus syndrome 3) Varicose veins 4) Yeast infection",Sick sinus syndrome,2,3
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Sick sinus syndrome 4) Yeast infection",Sick sinus syndrome,3,3
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Yeast infection 4) Sick sinus syndrome",Sick sinus syndrome,4,3
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Cyst of the eyelid 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,1,3
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Tinnitus of unknown cause 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,2,3
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Acute bronchitis 3) Tinnitus of unknown cause 4) Pemphigus",Tinnitus of unknown cause,3,3
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Acute bronchitis 3) Cyst of the eyelid 4) Tinnitus of unknown cause",Tinnitus of unknown cause,4,3
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Glaucoma 2) Herpangina 3) G6PD enzyme deficiency 4) Pulmonary embolism",Glaucoma,1,3
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pulmonary embolism 2) Glaucoma 3) G6PD enzyme deficiency 4) Herpangina",Glaucoma,2,3
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) G6PD enzyme deficiency 2) Pulmonary embolism 3) Glaucoma 4) Herpangina",Glaucoma,3,3
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Herpangina 2) G6PD enzyme deficiency 3) Pulmonary embolism 4) Glaucoma",Glaucoma,4,3
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Raynaud disease 3) Septic arthritis 4) Pain disorder affecting the neck",Eating disorder,1,3
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Septic arthritis 2) Eating disorder 3) Raynaud disease 4) Pain disorder affecting the neck",Eating disorder,2,3
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Raynaud disease 3) Eating disorder 4) Septic arthritis",Eating disorder,3,3
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Raynaud disease 2) Pain disorder affecting the neck 3) Septic arthritis 4) Eating disorder",Eating disorder,4,3
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Transient ischemic attack 2) Tonsillar hypertrophy 3) Eye alignment disorder 4) Pterygium",Transient ischemic attack,1,3
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Transient ischemic attack 3) Pterygium 4) Tonsillar hypertrophy",Transient ischemic attack,2,3
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Pterygium 3) Transient ischemic attack 4) Tonsillar hypertrophy",Transient ischemic attack,3,3
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Pterygium 3) Tonsillar hypertrophy 4) Transient ischemic attack",Transient ischemic attack,4,3
"A patient is presenting with the following symptoms: Side pain, Fever, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyelonephritis 2) Scleritis 3) Vocal cord polyp 4) Pelvic organ prolapse",Pyelonephritis,1,3
"A patient is presenting with the following symptoms: Side pain, Fever, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vocal cord polyp 2) Pyelonephritis 3) Scleritis 4) Pelvic organ prolapse",Pyelonephritis,2,3
"A patient is presenting with the following symptoms: Side pain, Fever, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic organ prolapse 2) Vocal cord polyp 3) Pyelonephritis 4) Scleritis",Pyelonephritis,3,3
"A patient is presenting with the following symptoms: Side pain, Fever, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pelvic organ prolapse 2) Vocal cord polyp 3) Scleritis 4) Pyelonephritis",Pyelonephritis,4,3
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rotator cuff injury 2) Persistent vomiting of unknown cause 3) Myelodysplastic syndrome 4) Pelvic fistula",Rotator cuff injury,1,3
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myelodysplastic syndrome 2) Rotator cuff injury 3) Persistent vomiting of unknown cause 4) Pelvic fistula",Rotator cuff injury,2,3
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Myelodysplastic syndrome 2) Pelvic fistula 3) Rotator cuff injury 4) Persistent vomiting of unknown cause",Rotator cuff injury,3,3
"A patient is presenting with the following symptoms: Shoulder pain, Arm pain, Shoulder stiffness or tightness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Persistent vomiting of unknown cause 2) Pelvic fistula 3) Myelodysplastic syndrome 4) Rotator cuff injury",Rotator cuff injury,4,3
"A patient is presenting with the following symptoms: Back pain, Low back pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pain disorder 2) Appendicitis 3) Extrapyramidal effect of drugs 4) Eating disorder",Chronic pain disorder,1,3
"A patient is presenting with the following symptoms: Back pain, Low back pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Chronic pain disorder 3) Extrapyramidal effect of drugs 4) Appendicitis",Chronic pain disorder,2,3
"A patient is presenting with the following symptoms: Back pain, Low back pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Extrapyramidal effect of drugs 3) Chronic pain disorder 4) Appendicitis",Chronic pain disorder,3,3
"A patient is presenting with the following symptoms: Back pain, Low back pain, Ache all over. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Appendicitis 3) Extrapyramidal effect of drugs 4) Chronic pain disorder",Chronic pain disorder,4,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Problem during pregnancy 2) Endometrial cancer 3) Nasal polyp 4) Tinnitus of unknown cause",Problem during pregnancy,1,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Problem during pregnancy 3) Tinnitus of unknown cause 4) Endometrial cancer",Problem during pregnancy,2,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Endometrial cancer 3) Problem during pregnancy 4) Tinnitus of unknown cause",Problem during pregnancy,3,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Pain during pregnancy, Problems during pregnancy. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Tinnitus of unknown cause 3) Endometrial cancer 4) Problem during pregnancy",Problem during pregnancy,4,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Liver cancer 2) Primary thrombocythemia 3) Vitreous degeneration 4) Acanthosis nigricans",Liver cancer,1,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acanthosis nigricans 2) Liver cancer 3) Primary thrombocythemia 4) Vitreous degeneration",Liver cancer,2,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vitreous degeneration 2) Primary thrombocythemia 3) Liver cancer 4) Acanthosis nigricans",Liver cancer,3,3
"A patient is presenting with the following symptoms: Sharp abdominal pain, Upper abdominal pain, Stomach bloating. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Primary thrombocythemia 2) Acanthosis nigricans 3) Vitreous degeneration 4) Liver cancer",Liver cancer,4,3
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atelectasis 2) Hydrocele of the testicle 3) Poisoning due to analgesics 4) Dislocation of the finger",Atelectasis,1,3
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Atelectasis 3) Hydrocele of the testicle 4) Poisoning due to analgesics",Atelectasis,2,3
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Hydrocele of the testicle 3) Atelectasis 4) Poisoning due to analgesics",Atelectasis,3,3
"A patient is presenting with the following symptoms: Cough, Shortness of breath, Sharp chest pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Poisoning due to analgesics 3) Hydrocele of the testicle 4) Atelectasis",Atelectasis,4,3
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Wrist pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the hand 2) Endocarditis 3) Conversion disorder 4) Perirectal infection",Injury to the hand,1,3
