Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Diabetic ketoacidosis 3) Poisoning due to ethylene glycol 4) Corneal disorder",Poisoning due to ethylene glycol,3,3,"1) Neuropathy due to drugs
Explanation: The patient is abusing alcohol, which is a drug. The patient is also presenting with fainting and hostile behavior. These symptoms are consistent with Wernicke-Korsakoff syndrome,",1,different
"A patient is presenting with the following symptoms: Abusing alcohol, Fainting, Hostile behavior. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neuropathy due to drugs 2) Corneal disorder 3) Diabetic ketoacidosis 4) Poisoning due to ethylene glycol",Poisoning due to ethylene glycol,4,3,"1) Neuropathy due to drugs
Explanation: The patient is abusing alcohol, which is a drug. The patient is also presenting with fainting and hostile behavior. These symptoms are consistent with neuropathy due to drug abuse. Neuropathy",1,different
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrophic vaginitis 2) Somatization disorder 3) Mitral valve disease 4) Gum disease",Atrophic vaginitis,1,3,"1) Atrophic vaginitis
Explanation: Atrophic vaginitis is a condition characterized by vaginal dryness and itching, which are symptoms that the patient is experiencing. The patient is also experiencing painful urination, which is a common symptom",1,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Atrophic vaginitis 3) Gum disease 4) Mitral valve disease",Atrophic vaginitis,2,3,"2) Atrophic vaginitis
Explanation: Atrophic vaginitis is a condition characterized by vaginal dryness and itching, which are symptoms that the patient is experiencing. The patient is also experiencing painful urination, which is a common symptom",2,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Somatization disorder 2) Mitral valve disease 3) Atrophic vaginitis 4) Gum disease",Atrophic vaginitis,3,3,"3) Atrophic vaginitis
Explanation: Atrophic vaginitis is a condition characterized by vaginal dryness and itching, which are symptoms that the patient is experiencing. The patient is also experiencing painful urination, which is a common symptom",3,same
"A patient is presenting with the following symptoms: Vaginal itching, Vaginal dryness, Painful urination. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gum disease 2) Mitral valve disease 3) Somatization disorder 4) Atrophic vaginitis",Atrophic vaginitis,4,3,"4) Atrophic vaginitis
Explanation: Atrophic vaginitis is a condition characterized by vaginal dryness and itching, which are symptoms that the patient is experiencing. The patient is also experiencing painful urination, which is a common symptom",4,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the hand 2) Ependymoma 3) Transient ischemic attack 4) Hemangioma",Fracture of the hand,1,3,"1) Fracture of the hand
Explanation: The patient is presenting with hand or finger pain, wrist pain, and hand or finger swelling. These symptoms are most consistent with a fracture of the hand. Fractures of the hand can",1,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Transient ischemic attack 2) Fracture of the hand 3) Hemangioma 4) Ependymoma",Fracture of the hand,2,3,"2) Fracture of the hand
Explanation: The patient is presenting with symptoms of hand or finger pain, wrist pain, and hand or finger swelling. These symptoms are most consistent with a fracture of the hand. Fractures of the",2,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hemangioma 2) Transient ischemic attack 3) Fracture of the hand 4) Ependymoma",Fracture of the hand,3,3,"3) Fracture of the hand
Explanation: The patient is presenting with hand or finger pain, wrist pain, and hand or finger swelling. These symptoms are most consistent with a fracture of the hand. Fractures of the hand can",3,same
"A patient is presenting with the following symptoms: Hand or finger pain, Wrist pain, Hand or finger swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ependymoma 2) Transient ischemic attack 3) Hemangioma 4) Fracture of the hand",Fracture of the hand,4,3,"4) Fracture of the hand
Explanation: The patient is presenting with symptoms of hand or finger pain, wrist pain, and hand or finger swelling. These symptoms are most consistent with a fracture of the hand. Fractures of the",4,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cellulitis or abscess of mouth 2) Diaper rash 3) Personality disorder 4) Restless leg syndrome",Cellulitis or abscess of mouth,1,3,"1) Cellulitis or abscess of mouth
Explanation: The patient is presenting with lip swelling, sore throat, and toothache. These symptoms are most consistent with cellulitis or an abscess of the mouth. Cellulitis is an",1,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Personality disorder 2) Cellulitis or abscess of mouth 3) Restless leg syndrome 4) Diaper rash",Cellulitis or abscess of mouth,2,3,"2) Cellulitis or abscess of mouth
Explanation: The patient is presenting with lip swelling, sore throat, and toothache. These symptoms are most consistent with cellulitis or an abscess of the mouth. Cellulitis is an",2,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Personality disorder 3) Cellulitis or abscess of mouth 4) Diaper rash",Cellulitis or abscess of mouth,3,3,"3) Cellulitis or abscess of mouth
Explanation: The patient's symptoms of lip swelling, sore throat, and toothache are most consistent with cellulitis or an abscess of the mouth. These symptoms are indicative of an infection of",3,same
"A patient is presenting with the following symptoms: Lip swelling, Sore throat, Toothache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Restless leg syndrome 2) Diaper rash 3) Personality disorder 4) Cellulitis or abscess of mouth",Cellulitis or abscess of mouth,4,3,"4) Cellulitis or abscess of mouth
Explanation: The symptoms of lip swelling, sore throat, and toothache are most consistent with cellulitis or an abscess of the mouth. Cellulitis is an infection of the skin and",4,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Paroxysmal supraventricular tachycardia 3) Huntington disease 4) Poisoning due to opioids",Eye alignment disorder,1,3,"1) Eye alignment disorder
Explanation: The patient is presenting with eye deviation, diminished vision, and double vision. These symptoms are most commonly associated with eye alignment disorders, such as strabismus or esotropia. These conditions can cause",1,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Eye alignment disorder 3) Poisoning due to opioids 4) Huntington disease",Eye alignment disorder,2,3,"2) Eye alignment disorder
Explanation: The patient is presenting with eye deviation, diminished vision, and double vision. These symptoms are most likely related to an eye alignment disorder, such as strabismus or esotropia. These conditions can",2,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Huntington disease 2) Poisoning due to opioids 3) Eye alignment disorder 4) Paroxysmal supraventricular tachycardia",Eye alignment disorder,3,3,"3) Eye alignment disorder
Explanation: The symptoms described are indicative of an eye alignment disorder, which affects the alignment of the eyes and can cause eye deviation, diminished vision, and double vision. This is a common condition that can be caused by",3,same
"A patient is presenting with the following symptoms: Eye deviation, Diminished vision, Double vision. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Paroxysmal supraventricular tachycardia 2) Poisoning due to opioids 3) Huntington disease 4) Eye alignment disorder",Eye alignment disorder,4,3,"4) Eye alignment disorder
Explanation: The symptoms described are indicative of an eye alignment disorder, which is characterized by eye deviation, diminished vision, and double vision. This condition is often caused by a misalignment of the eyes, which can be",4,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Headache after lumbar puncture 2) Oral mucosal lesion 3) Atonic bladder 4) Colorectal cancer",Headache after lumbar puncture,1,3,"1) Headache after lumbar puncture
Explanation: The patient is presenting with headache, nausea, and back pain. These symptoms are consistent with a post-dural puncture headache, which is a complication of lumbar puncture. This",1,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Headache after lumbar puncture 3) Colorectal cancer 4) Atonic bladder",Headache after lumbar puncture,2,3,"2) Headache after lumbar puncture
Explanation: The patient is presenting with headache and nausea, which are common symptoms of a headache after lumbar puncture. This is a known complication of the procedure. The other options do not match",2,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Oral mucosal lesion 2) Colorectal cancer 3) Headache after lumbar puncture 4) Atonic bladder",Headache after lumbar puncture,3,3,"3) Headache after lumbar puncture
Explanation: The patient is presenting with headache, nausea, and back pain. These symptoms are consistent with a post-dural puncture headache, which is a complication of lumbar puncture. This",3,same
"A patient is presenting with the following symptoms: Headache, Nausea, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Colorectal cancer 2) Oral mucosal lesion 3) Atonic bladder 4) Headache after lumbar puncture",Headache after lumbar puncture,4,3,"4) Headache after lumbar puncture
Explanation: The patient is presenting with headache, nausea, and back pain. These symptoms are consistent with a headache after lumbar puncture, which is a known complication of this procedure. The other",4,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyloric stenosis 2) Histoplasmosis 3) Balanitis 4) Bone cancer",Pyloric stenosis,1,3,"1) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pylorus, the passage that connects the stomach to the small intestine, becomes narrowed. This narrowing can cause severe vomiting, especially after",1,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Bone cancer 2) Pyloric stenosis 3) Balanitis 4) Histoplasmosis",Pyloric stenosis,2,3,"2) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pylorus, the passage that connects the stomach to the small intestine, becomes narrowed. This narrowing can cause severe vomiting, especially after",2,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Pyloric stenosis 4) Bone cancer",Pyloric stenosis,3,3,"3) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pylorus, the passage that connects the stomach to the small intestine, becomes narrowed. This narrowing can cause severe vomiting, especially after",3,same
"A patient is presenting with the following symptoms: Vomiting, Sharp abdominal pain, Infant spitting up. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Balanitis 2) Histoplasmosis 3) Bone cancer 4) Pyloric stenosis",Pyloric stenosis,4,3,"4) Pyloric stenosis
Explanation: Pyloric stenosis is a condition in which the pylorus, the passage that connects the stomach to the small intestine, becomes narrowed. This narrowing can cause severe vomiting, especially after",4,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Salivary gland disorder 2) Benign prostatic hyperplasia (BPH) 3) Leishmaniasis 4) Trichiasis",Salivary gland disorder,1,3,"1) Salivary gland disorder
Explanation: The patient's symptoms of sore throat, peripheral edema, and neck mass are most consistent with a salivary gland disorder. The neck mass is likely a parotid gland mass, which",1,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Salivary gland disorder 3) Benign prostatic hyperplasia (BPH) 4) Leishmaniasis",Salivary gland disorder,2,3,"2) Salivary gland disorder
Explanation: The patient's symptoms of sore throat, peripheral edema, and neck mass are suggestive of a salivary gland disorder, such as a sialolithiasis or a sialadenitis",2,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Benign prostatic hyperplasia (BPH) 3) Salivary gland disorder 4) Leishmaniasis",Salivary gland disorder,3,3,"3) Salivary gland disorder
Explanation: The patient's symptoms of sore throat, peripheral edema, and neck mass are suggestive of a salivary gland disorder, such as a sialolithiasis or a sialadenitis",3,same
"A patient is presenting with the following symptoms: Sore throat, Peripheral edema, Neck mass. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Leishmaniasis 2) Trichiasis 3) Benign prostatic hyperplasia (BPH) 4) Salivary gland disorder",Salivary gland disorder,4,3,"4) Salivary gland disorder
Explanation: The patient's symptoms of sore throat, peripheral edema, and neck mass are suggestive of a salivary gland disorder, such as a parotid gland tumor. The parotid gland",4,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Osteochondrosis 2) Dislocation of the vertebra 3) Yeast infection 4) Lumbago",Osteochondrosis,1,3,"1) Osteochondrosis
Explanation: Osteochondrosis is a disease that affects the growth plates of bones, leading to pain and deformity. The symptoms described, such as knee pain, foot or toe pain, and bowlegged",1,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Yeast infection 2) Osteochondrosis 3) Lumbago 4) Dislocation of the vertebra",Osteochondrosis,2,3,"2) Osteochondrosis
Explanation: Osteochondrosis is a disease that affects the growth plates of bones, leading to pain and deformity. The symptoms described, such as knee pain, foot or toe pain, and bowlegged",2,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the vertebra 2) Yeast infection 3) Osteochondrosis 4) Lumbago",Osteochondrosis,3,3,"3) Osteochondrosis
Explanation: Osteochondrosis is a disease of the growth plate in the bones of the body. It is characterized by the degeneration of the cartilage and bone in the growth plate, leading to pain and",3,same
"A patient is presenting with the following symptoms: Knee pain, Foot or toe pain, Bowlegged or knock-kneed. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lumbago 2) Dislocation of the vertebra 3) Yeast infection 4) Osteochondrosis",Osteochondrosis,4,3,"4) Osteochondrosis
Explanation: Osteochondrosis is a disease of the growth plate in the bones of the body. It is characterized by the degeneration of the cartilage and bone in the growth plate, leading to pain and",4,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the knee 2) Drug reaction 3) Spina bifida 4) Factitious disorder",Injury to the knee,1,3,"1) Injury to the knee
Explanation: The patient is presenting with knee pain and swelling, which are common symptoms of an injury to the knee. The patient is also experiencing leg pain, which could be related to the injury as well. The",1,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Injury to the knee 3) Drug reaction 4) Factitious disorder",Injury to the knee,2,3,"2) Injury to the knee
Explanation: The patient is presenting with knee pain and swelling, which are common symptoms of a knee injury. The patient is also experiencing leg pain, which could be related to the knee injury. The other options do",2,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Drug reaction 2) Factitious disorder 3) Injury to the knee 4) Spina bifida",Injury to the knee,3,3,"3) Injury to the knee
Explanation: The patient is presenting with knee pain and swelling, which are common symptoms of an injury to the knee. The patient is also experiencing leg pain, which could be related to the injury as well. The",3,same
"A patient is presenting with the following symptoms: Knee pain, Knee swelling, Leg pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Spina bifida 2) Drug reaction 3) Factitious disorder 4) Injury to the knee",Injury to the knee,4,3,"4) Injury to the knee
Explanation: The patient is presenting with knee pain and swelling, which are common symptoms of an injury to the knee. The patient is also experiencing leg pain, which could be related to the injury as well. The",4,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Metabolic disorder 2) Urethral stricture 3) Gastroparesis 4) Developmental disability",Metabolic disorder,1,3,"1) Metabolic disorder
Explanation: The patient's symptoms of weight gain, jaundice, and mouth dryness are suggestive of a metabolic disorder. Jaundice is a sign of liver dysfunction, which can be caused by a metabolic disorder",1,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Gastroparesis 2) Metabolic disorder 3) Developmental disability 4) Urethral stricture",Metabolic disorder,2,3,"2) Metabolic disorder
Explanation: The patient's symptoms of weight gain, jaundice, and mouth dryness are suggestive of a metabolic disorder. Jaundice is a sign of liver dysfunction, which can be caused by a variety of",2,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Gastroparesis 3) Metabolic disorder 4) Urethral stricture",Metabolic disorder,3,3,"3) Metabolic disorder
Explanation: The patient's symptoms of weight gain, jaundice, and mouth dryness are suggestive of a metabolic disorder. Jaundice is a sign of liver dysfunction, which can be caused by a variety of",3,same
"A patient is presenting with the following symptoms: Weight gain, Jaundice, Mouth dryness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Developmental disability 2) Urethral stricture 3) Gastroparesis 4) Metabolic disorder",Metabolic disorder,4,3,"4) Metabolic disorder
Explanation: The patient's symptoms of weight gain, jaundice, and mouth dryness are suggestive of a metabolic disorder. Jaundice is a sign of liver dysfunction, which can be caused by a metabolic disorder",4,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Vaginitis 2) Fracture of the shoulder 3) Open wound from surgical incision 4) Poisoning due to analgesics",Vaginitis,1,3,"1) Vaginitis
Explanation: The patient is presenting with symptoms of vaginal discharge and vaginal itching, which are common symptoms of vaginitis. Vaginitis is an inflammation of the vagina, which can be caused by infection,",1,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to analgesics 2) Vaginitis 3) Open wound from surgical incision 4) Fracture of the shoulder",Vaginitis,2,3,"2) Vaginitis
Explanation: The patient is presenting with symptoms of vaginal discharge and vaginal itching, which are common symptoms of vaginitis. Vaginitis is an inflammation of the vagina, which can be caused by infection,",2,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Open wound from surgical incision 3) Vaginitis 4) Poisoning due to analgesics",Vaginitis,3,3,"3) Vaginitis
Explanation: The patient is presenting with symptoms of vaginal discharge and itching, which are common symptoms of vaginitis. Vaginitis is an inflammation of the vagina, which can be caused by infection, irritation",3,same
"A patient is presenting with the following symptoms: Vaginal discharge, Vaginal itching, Sharp abdominal pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the shoulder 2) Poisoning due to analgesics 3) Open wound from surgical incision 4) Vaginitis",Vaginitis,4,3,"4) Vaginitis
Explanation: The patient is presenting with symptoms of vaginal discharge and itching, which are common symptoms of vaginitis. Vaginitis is an inflammation of the vagina, which can be caused by infection, irritation",4,same
